mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type,advert_year,vehicle_age,avg_miles_per_year
27269,11,RED,TOYOTA,AYGO,USED,2011,5000,HATCHBACK,0,PETROL,2020,9,3029
24448,64,RED,VAUXHALL,CORSA,USED,2014,6400,HATCHBACK,0,PETROL,2020,6,4074
1500,20,BLUE,KIA,SPORTAGE,USED,2020,24980,SUV,0,DIESEL,2020,0,1500
5500,69,GREY,VAUXHALL,GRANDLANDX,USED,2019,18990,SUV,0,DIESEL,2019,0,5500
3700,19,BLACK,VAUXHALL,CORSA,USED,2019,8576,HATCHBACK,0,PETROL,2020,1,3700
29236,17,GREY,VAUXHALL,CORSA,USED,2017,7500,HATCHBACK,0,PETROL,2020,3,9745
36114,66,RED,MERCEDES-BENZ,ACLASS,USED,2016,14500,HATCHBACK,0,DIESEL,2020,4,9028
12000,17,BLACK,PEUGEOT,308,USED,2017,11000,HATCHBACK,0,DIESEL,2020,3,4000
8791,18,BLUE,BMW,2SERIESGRANTOURER,USED,2018,19990,MPV,0,PETROL,2020,2,4395
98000,65,GREEN,LANDROVER,DISCOVERY4,USED,2015,21250,SUV,0,DIESEL,2020,5,19600
14419,19,RED,RENAULT,KADJAR,USED,2019,14800,SUV,0,PETROL,2020,1,14419
57223,65,BLACK,AUDI,A4,USED,2015,9800,SALOON,0,DIESEL,2020,5,11444
61011,66,SILVER,SKODA,OCTAVIA,USED,2016,9000,ESTATE,0,DIESEL,2020,4,15252
23000,16,WHITE,BMW,6SERIES,USED,2016,22480,COUPE,0,DIESEL,2020,4,5750
64300,07,BLACK,HONDA,CIVIC,USED,2007,1800,HATCHBACK,0,PETROL,2020,13,4946
19765,16,GREY,BMW,3SERIES,USED,2016,17490,SALOON,0,DIESEL,2020,4,4941
500,20,RED,MITSUBISHI,SHOGUNSPORT,USED,2020,32495,SUV,0,DIESEL,2020,0,500
